Time,Altitude,Speed,Pitch,Roll,Yaw,Throttle
0,100,150,2.1,0.3,180,85
0.1,100.5,151,2.2,0.4,180.1,85
0.2,101.2,152.3,2.5,0.2,180.2,86
0.3,102.1,154.1,3.1,0.1,180.3,86
0.4,103.3,156.2,3.8,-0.2,180.4,87
0.5,104.8,158.5,4.5,-0.5,180.5,87
0.6,106.5,161.1,5.2,-0.8,180.6,88
0.7,108.4,163.8,5.9,-1.0,180.7,88
0.8,110.5,166.7,6.5,-1.2,180.8,89
0.9,112.8,169.8,7.0,-1.3,180.9,89
1.0,115.3,173.0,7.4,-1.4,181.0,90
1.1,118.0,176.4,7.8,-1.5,181.1,90
1.2,120.9,179.9,8.1,-1.5,181.2,91
1.3,124.0,183.5,8.3,-1.4,181.3,91
1.4,127.3,187.2,8.5,-1.3,181.4,92
1.5,130.8,191.0,8.6,-1.2,181.5,92
1.6,134.5,194.9,8.7,-1.0,181.6,93
1.7,138.4,198.9,8.7,-0.8,181.7,93
1.8,142.5,203.0,8.6,-0.6,181.8,94
1.9,146.8,207.2,8.5,-0.4,181.9,94
2.0,151.3,211.5,8.3,-0.2,182.0,95
2.1,156.0,215.9,8.0,0.0,182.1,95
2.2,160.9,220.4,7.7,0.2,182.2,96
2.3,166.0,225.0,7.3,0.4,182.3,96
2.4,171.3,229.7,6.9,0.6,182.4,97
2.5,176.8,234.5,6.4,0.8,182.5,97
2.6,182.5,239.4,5.9,1.0,182.6,98
2.7,188.4,244.4,5.3,1.2,182.7,98
2.8,194.5,249.5,4.7,1.3,182.8,99
2.9,200.8,254.7,4.1,1.4,182.9,99
3.0,207.3,260.0,3.4,1.5,183.0,100
